code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
TKM,213,Turkmenistan,6995,Emissions on agricultural land,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4904.2015,5217.8427,5451.9297,5568.1856,5855.3926,4997.6084,5698.0016,6410.1503,7305.9168,7352.657,8427.205,9646.3635,10209.5316,10628.9303,11142.4867,10676.6181,11598.1118,11157.5589,11366.2428,11081.1903,12067.4345,11839.9342,11935.1857,11784.8372,11702.9897,11346.119,11147.2854,11443.3951,,10255.813,11173.6903
TKM,213,Turkmenistan,6996,Farm-gate emissions,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0229,110.2989,116.7583,121.5434,125.1787,105.9138,113.9117,130.0693,151.3439,158.5414,181.3979,207.1947,219.4821,227.3954,236.7084,221.5127,244.7264,232.0809,234.9686,231.1456,252.8407,255.5871,258.2257,258.686,262.5227,263.6693,265.3633,276.2599,,268.3147,292.5662
TKM,213,Turkmenistan,6996,Farm-gate emissions,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0524,2.4156,2.5315,2.625,2.5591,2.2461,2.5768,2.9297,3.2598,3.5917,4.2606,4.8867,5.1491,5.4874,5.9414,5.3696,5.9478,5.6402,5.6847,5.535,5.6806,5.7587,5.6735,5.7377,5.8163,5.6705,5.6819,5.8331,,6.4371,6.962
TKM,213,Turkmenistan,6996,Farm-gate emissions,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7417,0.8578,0.8915,0.9242,0.914,0.8012,0.9039,1.0239,1.1354,1.2513,1.4939,1.7357,1.8321,1.9601,2.1292,1.9871,2.2056,2.0609,2.0726,2.0186,2.0656,2.0812,2.0628,2.0798,2.1033,2.0678,2.0695,2.1067,,2.3278,2.5082
TKM,213,Turkmenistan,6996,Farm-gate emissions,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7145,4.3509,4.5309,4.6732,4.7336,4.0392,4.7375,5.3588,5.8879,6.2387,7.3675,8.6222,9.0252,9.4748,10.0573,9.3994,10.2537,9.8267,10.0986,9.6538,10.0282,10.0081,9.9761,9.9535,10.0103,9.6646,9.5863,10.2199,,10.3509,11.2522
TKM,213,Turkmenistan,6996,Farm-gate emissions,7273,Emissions (CO2),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.2054,976.4983,982.0052,926.5715,1095.9879,961.6278,1253.0311,1348.1405,1507.9809,1260.251,1395.6698,1560.0397,1672.3534,1751.0495,1849.4698,1983.4193,2028.5428,2055.2137,2111.0049,2050.8692,2330.4329,2031.341,2061.1887,1903.9523,1699.6207,1402.2731,1176.7377,999.8475,,,
TKM,213,Turkmenistan,6996,Farm-gate emissions,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576.6405,3088.3679,3269.2318,3403.2142,3505.0022,2965.5857,3189.5279,3641.9404,4237.6299,4439.1591,5079.1407,5801.4523,6145.4987,6367.0714,6627.8364,6202.3549,6852.3385,6498.2644,6579.1198,6472.0762,7079.5403,7156.4388,7230.3191,7243.2081,7350.6355,7382.7402,7430.172,7735.2786,,7512.8128,8191.8548
TKM,213,Turkmenistan,6996,Farm-gate emissions,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.3556,1152.9765,1200.6927,1238.3999,1254.4025,1070.3949,1255.4426,1420.0694,1560.306,1653.2469,1952.3945,2284.8715,2391.6795,2510.8094,2665.1805,2490.8438,2717.2305,2604.0808,2676.1181,2558.245,2657.4613,2652.1544,2643.6779,2637.6767,2652.7334,2561.1058,2540.3757,2708.269,,2743.0002,2981.8355
TKM,213,Turkmenistan,6996,Farm-gate emissions,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4904.2015,5217.8427,5451.9297,5568.1856,5855.3926,4997.6084,5698.0016,6410.1503,7305.9168,7352.657,8427.205,9646.3635,10209.5316,10628.9303,11142.4867,10676.6181,11598.1118,11157.5589,11366.2428,11081.1903,12067.4345,11839.9342,11935.1857,11784.8372,11702.9897,11346.119,11147.2854,11443.3951,,10255.813,11173.6903
TKM,213,Turkmenistan,6516,Land Use change,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TKM,213,Turkmenistan,6516,Land Use change,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TKM,213,Turkmenistan,6516,Land Use change,7273,Emissions (CO2),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TKM,213,Turkmenistan,6516,Land Use change,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TKM,213,Turkmenistan,6516,Land Use change,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TKM,213,Turkmenistan,6516,Land Use change,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
