year,month,decimal,average,average_unc,trend,trend_unc,date
1987,9,1987.7079999999999,1685.6,1.1,1685.2,0.5,1987-09-01
1987,10,1987.7920000000001,1691.6,1.1,1686.0,0.4,1987-10-01
1987,11,1987.875,1691.2,0.8,1686.9,0.4,1987-11-01
1987,12,1987.9579999999999,1690.5,0.9,1687.7,0.4,1987-12-01
1988,1,1988.0420000000001,1691.9,0.7,1688.5,0.4,1988-01-01
1988,2,1988.125,1692.5,0.8,1689.3,0.4,1988-02-01
1988,3,1988.2079999999999,1691.2,1.0,1690.1,0.4,1988-03-01
1988,4,1988.2920000000001,1690.0,0.9,1690.9,0.4,1988-04-01
1988,5,1988.375,1689.1,0.8,1691.8,0.5,1988-05-01
1988,6,1988.4579999999999,1687.1,1.2,1692.7,0.5,1988-06-01
1988,7,1988.5420000000001,1685.9,0.9,1693.5,0.5,1988-07-01
1988,8,1988.625,1689.4,0.9,1694.5,0.6,1988-08-01
1988,9,1988.7079999999999,1696.3,1.0,1695.4,0.6,1988-09-01
1988,10,1988.7920000000001,1701.3,1.1,1696.4,0.6,1988-10-01
1988,11,1988.875,1702.9,1.2,1697.4,0.6,1988-11-01
1988,12,1988.9579999999999,1702.0,1.0,1698.4,0.6,1988-12-01
1989,1,1989.0420000000001,1700.6,1.0,1699.4,0.6,1989-01-01
1989,2,1989.125,1701.1,1.1,1700.4,0.6,1989-02-01
1989,3,1989.2079999999999,1702.5,1.1,1701.4,0.6,1989-03-01
1989,4,1989.2920000000001,1703.7,1.0,1702.4,0.6,1989-04-01
1989,5,1989.375,1703.4,0.6,1703.4,0.6,1989-05-01
1989,6,1989.4579999999999,1700.2,0.9,1704.4,0.5,1989-06-01
1989,7,1989.5420000000001,1698.2,0.9,1705.3,0.5,1989-07-01
1989,8,1989.625,1702.0,1.0,1706.2,0.5,1989-08-01
1989,9,1989.7079999999999,1707.2,1.0,1707.1,0.5,1989-09-01
1989,10,1989.7920000000001,1710.5,1.1,1708.0,0.5,1989-10-01
1989,11,1989.875,1713.1,0.9,1708.8,0.6,1989-11-01
1989,12,1989.9579999999999,1713.2,0.9,1709.6,0.6,1989-12-01
1990,1,1990.0420000000001,1712.0,1.1,1710.4,0.6,1990-01-01
1990,2,1990.125,1713.4,1.1,1711.1,0.6,1990-02-01
1990,3,1990.2079999999999,1714.3,1.1,1711.8,0.7,1990-03-01
1990,4,1990.2920000000001,1712.6,1.1,1712.4,0.7,1990-04-01
1990,5,1990.375,1710.7,1.1,1713.1,0.7,1990-05-01
1990,6,1990.4579999999999,1708.3,0.9,1713.8,0.7,1990-06-01
1990,7,1990.5420000000001,1706.4,0.8,1714.4,0.7,1990-07-01
1990,8,1990.625,1710.1,1.2,1715.1,0.7,1990-08-01
1990,9,1990.7079999999999,1717.5,1.2,1715.8,0.7,1990-09-01
1990,10,1990.7920000000001,1722.0,0.9,1716.6,0.7,1990-10-01
1990,11,1990.875,1723.5,1.0,1717.4,0.7,1990-11-01
1990,12,1990.9579999999999,1723.3,1.0,1718.2,0.6,1990-12-01
1991,1,1991.0420000000001,1721.6,1.1,1719.2,0.6,1991-01-01
1991,2,1991.125,1721.2,1.3,1720.2,0.6,1991-02-01
1991,3,1991.2079999999999,1722.1,1.0,1721.2,0.6,1991-03-01
1991,4,1991.2920000000001,1722.5,1.0,1722.4,0.6,1991-04-01
1991,5,1991.375,1722.2,1.1,1723.6,0.6,1991-05-01
1991,6,1991.4579999999999,1719.0,1.2,1724.9,0.7,1991-06-01
1991,7,1991.5420000000001,1716.1,1.0,1726.2,0.7,1991-07-01
1991,8,1991.625,1719.3,0.9,1727.5,0.7,1991-08-01
1991,9,1991.7079999999999,1726.2,1.3,1728.8,0.7,1991-09-01
1991,10,1991.7920000000001,1732.7,1.0,1730.1,0.7,1991-10-01
1991,11,1991.875,1737.5,0.9,1731.2,0.7,1991-11-01
1991,12,1991.9579999999999,1739.6,1.1,1732.3,0.7,1991-12-01
1992,1,1992.0420000000001,1738.9,1.1,1733.2,0.7,1992-01-01
1992,2,1992.125,1737.4,1.1,1734.0,0.7,1992-02-01
1992,3,1992.2079999999999,1736.9,1.0,1734.6,0.6,1992-03-01
1992,4,1992.2920000000001,1736.6,0.6,1735.1,0.6,1992-04-01
1992,5,1992.375,1735.0,0.8,1735.4,0.6,1992-05-01
1992,6,1992.4579999999999,1731.6,1.1,1735.6,0.6,1992-06-01
1992,7,1992.5420000000001,1728.9,1.1,1735.7,0.6,1992-07-01
1992,8,1992.625,1730.4,1.0,1735.7,0.5,1992-08-01
1992,9,1992.7079999999999,1734.7,0.8,1735.6,0.5,1992-09-01
1992,10,1992.7920000000001,1737.8,0.8,1735.4,0.5,1992-10-01
1992,11,1992.875,1739.3,1.1,1735.3,0.5,1992-11-01
1992,12,1992.9579999999999,1738.6,1.0,1735.2,0.5,1992-12-01
1993,1,1993.0420000000001,1735.8,1.0,1735.1,0.5,1993-01-01
1993,2,1993.125,1734.4,1.1,1735.1,0.5,1993-02-01
1993,3,1993.2079999999999,1735.5,1.0,1735.2,0.5,1993-03-01
1993,4,1993.2920000000001,1736.7,0.9,1735.3,0.5,1993-04-01
1993,5,1993.375,1735.0,0.8,1735.5,0.5,1993-05-01
1993,6,1993.4579999999999,1730.8,0.8,1735.8,0.5,1993-06-01
1993,7,1993.5420000000001,1728.0,0.9,1736.2,0.5,1993-07-01
1993,8,1993.625,1731.2,0.9,1736.6,0.5,1993-08-01
1993,9,1993.7079999999999,1738.5,1.0,1737.1,0.6,1993-09-01
1993,10,1993.7920000000001,1743.3,1.0,1737.6,0.6,1993-10-01
1993,11,1993.875,1745.2,0.8,1738.1,0.6,1993-11-01
1993,12,1993.9579999999999,1744.3,0.9,1738.7,0.6,1993-12-01
1994,1,1994.0420000000001,1741.4,1.0,1739.3,0.6,1994-01-01
1994,2,1994.125,1740.9,1.2,1739.8,0.6,1994-02-01
1994,3,1994.2079999999999,1741.9,1.0,1740.4,0.6,1994-03-01
1994,4,1994.2920000000001,1741.9,0.7,1741.0,0.6,1994-04-01
1994,5,1994.375,1740.7,1.0,1741.6,0.6,1994-05-01
1994,6,1994.4579999999999,1736.9,1.3,1742.2,0.6,1994-06-01
1994,7,1994.5420000000001,1732.4,1.1,1742.9,0.6,1994-07-01
1994,8,1994.625,1734.1,1.1,1743.5,0.6,1994-08-01
1994,9,1994.7079999999999,1742.9,0.8,1744.1,0.6,1994-09-01
1994,10,1994.7920000000001,1749.8,0.7,1744.7,0.6,1994-10-01
1994,11,1994.875,1751.3,0.9,1745.3,0.6,1994-11-01
1994,12,1994.9579999999999,1751.5,0.9,1745.9,0.6,1994-12-01
1995,1,1995.0420000000001,1751.0,1.0,1746.5,0.6,1995-01-01
1995,2,1995.125,1749.4,1.0,1747.0,0.6,1995-02-01
1995,3,1995.2079999999999,1748.9,0.7,1747.5,0.6,1995-03-01
1995,4,1995.2920000000001,1749.5,0.7,1747.9,0.6,1995-04-01
1995,5,1995.375,1747.7,1.1,1748.3,0.5,1995-05-01
1995,6,1995.4579999999999,1742.8,1.0,1748.7,0.5,1995-06-01
1995,7,1995.5420000000001,1740.1,0.8,1749.0,0.5,1995-07-01
1995,8,1995.625,1743.5,1.2,1749.2,0.5,1995-08-01
1995,9,1995.7079999999999,1749.7,1.3,1749.5,0.5,1995-09-01
1995,10,1995.7920000000001,1754.2,0.9,1749.7,0.5,1995-10-01
1995,11,1995.875,1755.3,1.0,1749.9,0.5,1995-11-01
1995,12,1995.9579999999999,1753.7,1.0,1750.1,0.5,1995-12-01
1996,1,1996.0420000000001,1752.3,1.1,1750.2,0.6,1996-01-01
1996,2,1996.125,1752.9,1.1,1750.4,0.6,1996-02-01
1996,3,1996.2079999999999,1752.3,0.9,1750.6,0.6,1996-03-01
1996,4,1996.2920000000001,1749.9,1.0,1750.8,0.6,1996-04-01
1996,5,1996.375,1748.6,1.1,1751.0,0.7,1996-05-01
1996,6,1996.4579999999999,1746.2,1.0,1751.2,0.7,1996-06-01
1996,7,1996.5420000000001,1742.2,0.9,1751.4,0.7,1996-07-01
1996,8,1996.625,1744.7,1.3,1751.7,0.7,1996-08-01
1996,9,1996.7079999999999,1753.0,1.3,1751.9,0.7,1996-09-01
1996,10,1996.7920000000001,1759.0,1.0,1752.1,0.7,1996-10-01
1996,11,1996.875,1759.9,1.0,1752.3,0.6,1996-11-01
1996,12,1996.9579999999999,1756.8,0.8,1752.5,0.6,1996-12-01
1997,1,1997.0420000000001,1753.4,0.9,1752.8,0.6,1997-01-01
1997,2,1997.125,1753.8,1.0,1753.0,0.5,1997-02-01
1997,3,1997.2079999999999,1755.6,0.8,1753.2,0.5,1997-03-01
1997,4,1997.2920000000001,1755.5,1.0,1753.5,0.5,1997-04-01
1997,5,1997.375,1753.9,0.7,1753.9,0.4,1997-05-01
1997,6,1997.4579999999999,1750.2,0.9,1754.2,0.4,1997-06-01
1997,7,1997.5420000000001,1746.2,1.0,1754.7,0.4,1997-07-01
1997,8,1997.625,1748.0,0.9,1755.3,0.4,1997-08-01
1997,9,1997.7079999999999,1755.1,0.9,1755.9,0.4,1997-09-01
1997,10,1997.7920000000001,1760.2,0.8,1756.6,0.5,1997-10-01
1997,11,1997.875,1761.7,0.9,1757.5,0.5,1997-11-01
1997,12,1997.9579999999999,1761.9,0.8,1758.4,0.5,1997-12-01
1998,1,1998.0420000000001,1761.5,0.7,1759.5,0.5,1998-01-01
1998,2,1998.125,1761.6,1.2,1760.5,0.6,1998-02-01
1998,3,1998.2079999999999,1763.0,1.6,1761.6,0.6,1998-03-01
1998,4,1998.2920000000001,1764.7,1.2,1762.8,0.6,1998-04-01
1998,5,1998.375,1764.2,1.0,1764.0,0.6,1998-05-01
1998,6,1998.4579999999999,1760.3,0.8,1765.1,0.6,1998-06-01
1998,7,1998.5420000000001,1756.1,1.0,1766.3,0.7,1998-07-01
1998,8,1998.625,1760.1,1.0,1767.4,0.7,1998-08-01
1998,9,1998.7079999999999,1770.5,1.3,1768.4,0.7,1998-09-01
1998,10,1998.7920000000001,1776.2,1.3,1769.3,0.7,1998-10-01
1998,11,1998.875,1775.6,0.9,1770.1,0.7,1998-11-01
1998,12,1998.9579999999999,1774.2,0.8,1770.7,0.7,1998-12-01
1999,1,1999.0420000000001,1774.0,1.0,1771.3,0.7,1999-01-01
1999,2,1999.125,1774.2,1.5,1771.8,0.7,1999-02-01
1999,3,1999.2079999999999,1774.7,1.2,1772.2,0.7,1999-03-01
1999,4,1999.2920000000001,1775.0,0.9,1772.5,0.7,1999-04-01
1999,5,1999.375,1772.7,1.0,1772.8,0.6,1999-05-01
1999,6,1999.4579999999999,1767.4,0.8,1773.0,0.6,1999-06-01
1999,7,1999.5420000000001,1763.0,0.8,1773.1,0.6,1999-07-01
1999,8,1999.625,1764.7,0.9,1773.2,0.6,1999-08-01
1999,9,1999.7079999999999,1771.1,0.8,1773.3,0.6,1999-09-01
1999,10,1999.7920000000001,1776.6,0.8,1773.4,0.6,1999-10-01
1999,11,1999.875,1778.6,0.7,1773.4,0.6,1999-11-01
1999,12,1999.9579999999999,1777.3,0.8,1773.4,0.6,1999-12-01
2000,1,2000.0420000000001,1775.7,1.1,1773.5,0.7,2000-01-01
2000,2,2000.125,1775.8,1.4,1773.5,0.7,2000-02-01
2000,3,2000.2079999999999,1776.8,1.5,1773.4,0.7,2000-03-01
2000,4,2000.2920000000001,1777.4,1.4,1773.4,0.7,2000-04-01
2000,5,2000.375,1774.6,1.2,1773.3,0.8,2000-05-01
2000,6,2000.4579999999999,1768.2,1.1,1773.2,0.8,2000-06-01
2000,7,2000.5420000000001,1763.6,0.8,1773.1,0.8,2000-07-01
2000,8,2000.625,1765.7,1.0,1772.9,0.8,2000-08-01
2000,9,2000.7079999999999,1772.2,1.1,1772.7,0.8,2000-09-01
2000,10,2000.7920000000001,1777.1,0.8,1772.5,0.7,2000-10-01
2000,11,2000.875,1777.8,0.9,1772.3,0.7,2000-11-01
2000,12,2000.9579999999999,1775.3,1.1,1772.1,0.7,2000-12-01
2001,1,2001.0420000000001,1772.9,1.0,1771.9,0.7,2001-01-01
2001,2,2001.125,1772.5,1.1,1771.7,0.7,2001-02-01
2001,3,2001.2079999999999,1773.7,1.1,1771.5,0.7,2001-03-01
2001,4,2001.2920000000001,1773.9,0.7,1771.3,0.6,2001-04-01
2001,5,2001.375,1770.8,0.8,1771.2,0.6,2001-05-01
2001,6,2001.4579999999999,1765.9,1.0,1771.1,0.6,2001-06-01
2001,7,2001.5420000000001,1762.8,1.0,1771.0,0.6,2001-07-01
2001,8,2001.625,1764.4,0.9,1771.0,0.5,2001-08-01
2001,9,2001.7079999999999,1770.4,0.8,1771.0,0.5,2001-09-01
2001,10,2001.7920000000001,1775.5,0.6,1771.1,0.5,2001-10-01
2001,11,2001.875,1776.6,0.8,1771.1,0.5,2001-11-01
2001,12,2001.9579999999999,1775.9,1.1,1771.2,0.5,2001-12-01
2002,1,2002.0420000000001,1774.1,1.2,1771.3,0.4,2002-01-01
2002,2,2002.125,1772.8,1.0,1771.4,0.4,2002-02-01
2002,3,2002.2079999999999,1773.4,0.6,1771.6,0.4,2002-03-01
2002,4,2002.2920000000001,1772.7,0.6,1771.7,0.4,2002-04-01
2002,5,2002.375,1770.3,0.7,1771.9,0.5,2002-05-01
2002,6,2002.4579999999999,1766.9,0.8,1772.1,0.5,2002-06-01
2002,7,2002.5420000000001,1764.3,0.9,1772.4,0.5,2002-07-01
2002,8,2002.625,1767.1,1.0,1772.7,0.5,2002-08-01
2002,9,2002.7079999999999,1773.7,0.9,1773.0,0.6,2002-09-01
2002,10,2002.7920000000001,1778.2,1.3,1773.4,0.6,2002-10-01
2002,11,2002.875,1779.6,1.2,1773.8,0.6,2002-11-01
2002,12,2002.9579999999999,1779.7,0.8,1774.2,0.6,2002-12-01
2003,1,2003.0420000000001,1777.5,1.0,1774.8,0.6,2003-01-01
2003,2,2003.125,1774.9,1.1,1775.3,0.6,2003-02-01
2003,3,2003.2079999999999,1774.8,0.9,1775.8,0.6,2003-03-01
2003,4,2003.2920000000001,1775.7,1.3,1776.4,0.5,2003-04-01
2003,5,2003.375,1774.4,1.0,1777.0,0.5,2003-05-01
2003,6,2003.4579999999999,1771.7,1.2,1777.5,0.5,2003-06-01
2003,7,2003.5420000000001,1770.7,1.8,1778.0,0.5,2003-07-01
2003,8,2003.625,1774.3,1.6,1778.5,0.5,2003-08-01
2003,9,2003.7079999999999,1780.5,1.0,1778.8,0.5,2003-09-01
2003,10,2003.7920000000001,1784.7,0.7,1779.1,0.5,2003-10-01
2003,11,2003.875,1785.3,0.9,1779.3,0.5,2003-11-01
2003,12,2003.9579999999999,1783.6,0.9,1779.3,0.5,2003-12-01
2004,1,2004.0420000000001,1780.9,1.0,1779.2,0.5,2004-01-01
2004,2,2004.125,1780.0,1.0,1779.1,0.5,2004-02-01
2004,3,2004.2079999999999,1781.0,1.0,1778.8,0.5,2004-03-01
2004,4,2004.2920000000001,1780.7,0.9,1778.4,0.5,2004-04-01
2004,5,2004.375,1777.6,1.1,1777.9,0.6,2004-05-01
2004,6,2004.4579999999999,1772.3,1.2,1777.4,0.6,2004-06-01
2004,7,2004.5420000000001,1768.0,0.9,1776.9,0.6,2004-07-01
2004,8,2004.625,1769.7,1.0,1776.3,0.6,2004-08-01
2004,9,2004.7079999999999,1775.5,1.1,1775.8,0.6,2004-09-01
2004,10,2004.7920000000001,1779.7,0.9,1775.3,0.6,2004-10-01
2004,11,2004.875,1780.5,0.9,1774.9,0.6,2004-11-01
2004,12,2004.9579999999999,1778.3,1.0,1774.6,0.6,2004-12-01
2005,1,2005.0420000000001,1776.0,1.2,1774.3,0.6,2005-01-01
2005,2,2005.125,1775.6,1.0,1774.1,0.6,2005-02-01
2005,3,2005.2079999999999,1775.5,1.0,1774.1,0.6,2005-03-01
2005,4,2005.2920000000001,1774.6,0.7,1774.0,0.6,2005-04-01
2005,5,2005.375,1772.3,0.7,1774.1,0.6,2005-05-01
2005,6,2005.4579999999999,1768.7,1.1,1774.2,0.6,2005-06-01
2005,7,2005.5420000000001,1766.3,0.9,1774.3,0.6,2005-07-01
2005,8,2005.625,1768.1,1.0,1774.4,0.6,2005-08-01
2005,9,2005.7079999999999,1773.2,1.1,1774.5,0.6,2005-09-01
2005,10,2005.7920000000001,1778.6,1.2,1774.6,0.6,2005-10-01
2005,11,2005.875,1781.1,0.8,1774.7,0.6,2005-11-01
2005,12,2005.9579999999999,1780.1,1.3,1774.8,0.6,2005-12-01
2006,1,2006.0420000000001,1779.4,1.1,1774.8,0.6,2006-01-01
2006,2,2006.125,1779.4,1.0,1774.8,0.6,2006-02-01
2006,3,2006.2079999999999,1777.3,0.8,1774.7,0.5,2006-03-01
2006,4,2006.2920000000001,1776.1,0.7,1774.7,0.5,2006-04-01
2006,5,2006.375,1775.0,1.0,1774.7,0.5,2006-05-01
2006,6,2006.4579999999999,1769.3,1.3,1774.7,0.5,2006-06-01
2006,7,2006.5420000000001,1764.2,1.2,1774.8,0.5,2006-07-01
2006,8,2006.625,1767.2,1.2,1774.9,0.5,2006-08-01
2006,9,2006.7079999999999,1774.6,1.3,1775.2,0.6,2006-09-01
2006,10,2006.7920000000001,1778.2,0.9,1775.5,0.6,2006-10-01
2006,11,2006.875,1779.0,0.7,1775.9,0.6,2006-11-01
2006,12,2006.9579999999999,1779.9,0.9,1776.4,0.6,2006-12-01
2007,1,2007.0420000000001,1779.2,1.1,1777.0,0.6,2007-01-01
2007,2,2007.125,1778.7,1.1,1777.6,0.6,2007-02-01
2007,3,2007.2079999999999,1780.3,0.9,1778.3,0.6,2007-03-01
2007,4,2007.2920000000001,1781.1,1.0,1779.0,0.6,2007-04-01
2007,5,2007.375,1779.5,1.2,1779.8,0.6,2007-05-01
2007,6,2007.4579999999999,1775.6,1.0,1780.5,0.6,2007-06-01
2007,7,2007.5420000000001,1772.6,1.0,1781.2,0.6,2007-07-01
2007,8,2007.625,1777.2,1.5,1781.9,0.6,2007-08-01
2007,9,2007.7079999999999,1785.9,1.5,1782.6,0.6,2007-09-01
2007,10,2007.7920000000001,1789.8,1.0,1783.2,0.6,2007-10-01
2007,11,2007.875,1789.5,0.9,1783.7,0.5,2007-11-01
2007,12,2007.9579999999999,1788.2,1.1,1784.3,0.5,2007-12-01
2008,1,2008.0420000000001,1786.8,1.2,1784.8,0.5,2008-01-01
2008,2,2008.125,1785.8,1.1,1785.3,0.5,2008-02-01
2008,3,2008.2079999999999,1786.1,1.2,1785.8,0.5,2008-03-01
2008,4,2008.2920000000001,1786.8,1.1,1786.3,0.5,2008-04-01
2008,5,2008.375,1785.1,0.9,1786.8,0.5,2008-05-01
2008,6,2008.4579999999999,1780.4,0.9,1787.3,0.5,2008-06-01
2008,7,2008.5420000000001,1777.6,0.9,1787.9,0.5,2008-07-01
2008,8,2008.625,1781.0,1.0,1788.5,0.5,2008-08-01
2008,9,2008.7079999999999,1787.7,0.9,1789.0,0.5,2008-09-01
2008,10,2008.7920000000001,1793.7,0.7,1789.6,0.5,2008-10-01
2008,11,2008.875,1797.4,1.1,1790.2,0.5,2008-11-01
2008,12,2008.9579999999999,1796.7,1.1,1790.8,0.5,2008-12-01
2009,1,2009.0420000000001,1795.1,1.0,1791.4,0.5,2009-01-01
2009,2,2009.125,1795.7,1.2,1791.9,0.5,2009-02-01
2009,3,2009.2079999999999,1796.0,1.1,1792.3,0.6,2009-03-01
2009,4,2009.2920000000001,1795.6,0.9,1792.8,0.6,2009-04-01
2009,5,2009.375,1792.4,0.7,1793.2,0.6,2009-05-01
2009,6,2009.4579999999999,1786.9,0.8,1793.6,0.6,2009-06-01
2009,7,2009.5420000000001,1784.9,1.0,1794.0,0.7,2009-07-01
2009,8,2009.625,1788.8,0.9,1794.3,0.7,2009-08-01
2009,9,2009.7079999999999,1794.8,1.2,1794.6,0.7,2009-09-01
2009,10,2009.7920000000001,1798.0,1.4,1794.9,0.7,2009-10-01
2009,11,2009.875,1797.9,0.9,1795.2,0.6,2009-11-01
2009,12,2009.9579999999999,1796.7,0.9,1795.6,0.6,2009-12-01
2010,1,2010.0420000000001,1797.1,1.3,1795.9,0.6,2010-01-01
2010,2,2010.125,1798.8,1.3,1796.3,0.6,2010-02-01
2010,3,2010.2079999999999,1799.4,1.2,1796.7,0.6,2010-03-01
2010,4,2010.2920000000001,1799.6,1.0,1797.1,0.6,2010-04-01
2010,5,2010.375,1797.7,1.1,1797.5,0.6,2010-05-01
2010,6,2010.4579999999999,1792.5,1.0,1797.9,0.6,2010-06-01
2010,7,2010.5420000000001,1789.4,0.8,1798.4,0.6,2010-07-01
2010,8,2010.625,1794.1,0.9,1798.9,0.6,2010-08-01
2010,9,2010.7079999999999,1801.8,1.0,1799.3,0.6,2010-09-01
2010,10,2010.7920000000001,1806.5,1.1,1799.8,0.6,2010-10-01
2010,11,2010.875,1807.0,1.1,1800.3,0.7,2010-11-01
2010,12,2010.9579999999999,1803.6,1.1,1800.7,0.7,2010-12-01
2011,1,2011.0420000000001,1800.5,1.1,1801.2,0.7,2011-01-01
2011,2,2011.125,1800.2,0.9,1801.6,0.7,2011-02-01
2011,3,2011.2079999999999,1801.0,0.7,1802.0,0.7,2011-03-01
2011,4,2011.2920000000001,1802.9,0.9,1802.4,0.7,2011-04-01
2011,5,2011.375,1803.3,0.9,1802.8,0.7,2011-05-01
2011,6,2011.4579999999999,1799.2,0.7,1803.2,0.7,2011-06-01
2011,7,2011.5420000000001,1796.1,0.9,1803.6,0.7,2011-07-01
2011,8,2011.625,1799.0,1.0,1804.0,0.7,2011-08-01
2011,9,2011.7079999999999,1804.0,1.6,1804.4,0.7,2011-09-01
2011,10,2011.7920000000001,1809.5,1.6,1804.8,0.7,2011-10-01
2011,11,2011.875,1812.3,1.3,1805.2,0.7,2011-11-01
2011,12,2011.9579999999999,1810.0,1.1,1805.6,0.7,2011-12-01
2012,1,2012.0420000000001,1807.3,1.1,1806.0,0.7,2012-01-01
2012,2,2012.125,1808.3,1.4,1806.4,0.7,2012-02-01
2012,3,2012.2079999999999,1809.9,0.9,1806.9,0.7,2012-03-01
2012,4,2012.2920000000001,1808.4,0.6,1807.3,0.7,2012-04-01
2012,5,2012.375,1804.7,1.3,1807.8,0.6,2012-05-01
2012,6,2012.4579999999999,1800.9,1.3,1808.2,0.6,2012-06-01
2012,7,2012.5420000000001,1799.2,1.1,1808.6,0.6,2012-07-01
2012,8,2012.625,1803.2,1.0,1809.1,0.6,2012-08-01
2012,9,2012.7079999999999,1810.1,1.2,1809.5,0.6,2012-09-01
2012,10,2012.7920000000001,1814.7,1.1,1809.9,0.6,2012-10-01
2012,11,2012.875,1815.9,1.1,1810.3,0.6,2012-11-01
2012,12,2012.9579999999999,1814.6,0.9,1810.6,0.6,2012-12-01
2013,1,2013.0420000000001,1814.1,1.1,1811.0,0.6,2013-01-01
2013,2,2013.125,1814.2,1.6,1811.3,0.6,2013-02-01
2013,3,2013.2079999999999,1813.3,1.2,1811.6,0.6,2013-03-01
2013,4,2013.2920000000001,1812.8,0.7,1812.0,0.6,2013-04-01
2013,5,2013.375,1811.9,0.9,1812.3,0.6,2013-05-01
2013,6,2013.4579999999999,1808.4,1.4,1812.7,0.6,2013-06-01
2013,7,2013.5420000000001,1805.7,1.5,1813.1,0.6,2013-07-01
2013,8,2013.625,1808.4,1.1,1813.6,0.6,2013-08-01
2013,9,2013.7079999999999,1814.3,1.0,1814.1,0.6,2013-09-01
2013,10,2013.7920000000001,1818.5,0.7,1814.7,0.6,2013-10-01
2013,11,2013.875,1820.4,0.7,1815.4,0.6,2013-11-01
2013,12,2013.9579999999999,1819.4,0.8,1816.1,0.6,2013-12-01
2014,1,2014.0420000000001,1816.9,1.0,1817.0,0.6,2014-01-01
2014,2,2014.125,1816.4,1.2,1817.9,0.6,2014-02-01
2014,3,2014.2079999999999,1818.1,1.2,1818.8,0.5,2014-03-01
2014,4,2014.2920000000001,1820.9,0.6,1819.8,0.5,2014-04-01
